id,kode_komponen,nama_barang,spek1,spek2,merek,satuan,kode_rekening,left_rekening,rincian_rekening
16,02.02.01.10.06,Chain Block , 1 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
17,02.02.01.10.07,Chain Block , 2 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
18,02.02.01.10.08,Dongkrak Hydraulic ,20 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
19,02.02.01.10.09,Chain Block ,3 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
20,02.02.01.11.01.01,Mesin Cetak Pelet,,,,Unit,5.2.3.05.01,5.2.3,Belanja Modal Pengadaan Alat Pengolahan
21,02.02.01.11.06.01,Mesin Cetak Digital Duplikator,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
22,02.02.01.11.06.02,Mesin Daging Giling, Kapasitas Produksi 120 kg/jam,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
23,02.02.01.11.06.03,Mesin Pengaduk Adonan Bakso, (Bowl Cutter) Volume 5L,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
24,02.02.01.11.06.04,Alat Pembuat Sosis, Manual Volume 7L,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
25,02.02.01.11.06.05,Alat Pembuat Mie, Gilingan manual mie 2mm,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
26,02.02.01.11.06.06,Mesin Pencacah Sampah, 24 PK,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
27,02.02.01.11.06.07,Total Station,,,Leica,Unit,5.2.3.04.03,5.2.3,Belanja Modal Pengadaan Alat Ukur
28,02.02.01.11.06.08,Mesin Antrian,,,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
29,02.02.01.11.06.09,Stamper Kodok,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
30,02.02.01.11.06.10,Mesin Potong Beton/aspal,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
31,02.02.01.11.06.11,Mesin Pengolah Limbah Cangkang Kerang, Kapasitas 50-75 Kg,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
32,02.02.01.11.06.12,Mesin Pengolah Limbah Cangkang Kerang, Kapasitas 100 - 200 Kg,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
33,02.02.01.11.06.13,Mesin Roll Pipa Besi,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
34,02.02.01.11.06.14,Mesin Pencacah Kayu/ Ranting, Kecil,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
35,02.02.01.11.06.15,Mesin Pencacah Kayu/ Ranting, Besar,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
36,02.02.01.11.06.16,Mesin Pengolah Kompos,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
37,02.02.01.11.06.17,Mesin Pemotong Dan Penghancur Kayu (Wood Chipper),,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
38,02.02.01.11.06.18,Mesin Pemecah Batu,250 x 400 mm,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
39,02.02.01.11.06.19,Mesin Pencacah Kayu,24 HP,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
40,02.02.01.11.06.20,Mesin Tetas Term Digital Dan Shake Tray,,,,Buah,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
41,02.02.01.11.06.21,Mesin Mixer Pelet,,,,Unit,5.2.3.05.01,5.2.3,Belanja Modal Pengadaan Alat Pengolahan
42,02.02.01.12.01,Crane Truck," Kapasitas 2,6 Ton",,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
43,02.02.01.12.02,Crane Truck," Kapasitas 4,6 Ton",,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
44,02.02.01.12.03,Baby Roller, Kapasitas 500 - 600 Kg,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
45,02.02.01.12.04,Alat Pengisian Tabung Breathing Apparatus Dan Tabung Selam,,listrik,,Unit,5.2.3.06.01,5.2.3,Belanja Modal Pengadaan Alat Kantor
46,02.02.01.12.05,Compactor,,,MIKASA,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
47,02.02.01.12.06,Concrete Cutter,,,MIKASA,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
48,02.02.01.12.07,Jack Hammer,,,MAKITA,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
49,02.02.01.12.08.D,Excavator (Long Arm),,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
50,02.02.01.12.09,Forklift, Loading Capacity 10.000 Kg,Muatan 10 Ton,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
51,02.02.01.12.10,Hydraulic Breaker, HB. 2000,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
52,02.02.01.12.11,Hydraulic Breaker, JTHB 210,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
53,02.02.01.12.12,Hydraulic Breaker, FXJ 275,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
54,02.02.01.12.13,Hydraulic Breaker, MB 1700E,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
55,02.02.01.12.14,Hydraulic Breaker, MB 1500E,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
56,02.02.01.12.15,Hydraulic Breaker, SB. 202,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
57,02.02.01.12.16,Buldozer,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
58,02.02.01.12.17,Backhoe Loader,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
59,02.02.01.12.18,Forklift ,Kapasitas 3 Ton Manual,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
60,02.02.01.12.19,Forklift ,Kapasitas 3 Ton Matic,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
61,02.02.03.03.01,Compressor, 2 HP,Belt Listrik,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
62,02.02.03.03.02,Compressor, 2 HP/PK,Direct Driven,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
63,02.02.03.04.01.01,Genset Portable, 2000-2500 W,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
64,02.02.03.04.01.02,Automatic Genset, 6.1 kva with RAVS/ATS,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
65,02.02.03.04.01.03,Genset Portable, 3800 - 4600 W,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
66,02.02.03.04.01.04,Genset Portable, 5000-6000 W,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
67,02.02.03.04.01.05,Genset, 100 KVA,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
68,02.02.03.04.01.06,Genset, 1000 Kva (Open),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
69,02.02.03.04.01.07,Genset, 800 Kva (Open),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
70,02.02.03.04.01.08,Genset, 500 Kva (Open),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
71,02.02.03.04.01.09.D,Genset, 1000 Kva (Silent),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
72,02.02.03.04.01.10,Genset, 800 Kva (Silent),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
73,02.02.03.04.01.11.D,Genset, 500 Kva (Silent),,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
74,02.02.03.04.01.12,Genset, 200 KVA,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
75,02.02.03.04.01.13,Genset Portable , Tipe Silent,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
76,02.02.03.04.01.14,Genset 10 KVA (Silent),,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
77,02.02.03.04.01.15,Genset 15 KVA (Silent),,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
78,02.02.03.04.01.16,Genset Silent ,30KVA,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
79,02.02.03.04.01.17,Genset Silent ,7000 Watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
80,02.02.03.05.02.01,Portable Fire Pump,,,,Unit,5.2.3.02.03,5.2.3,Belanja Modal Pengadaan Alat Pemadam Kebakaran
81,02.02.03.05.02.02,Pompa Air Portable, 4 inch,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
82,02.02.03.05.05.01,Submersible Pump, 6 inch,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
83,02.02.03.05.07.01.F,Pompa Air Jet Pump, 200 Watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
84,02.02.03.05.07.02.F,Pompa,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
85,02.02.03.05.07.03,Pompa Air, 3 inchi,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
86,02.02.03.05.07.04,Pompa Air Engine, 2 Inchi,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
87,02.02.03.05.07.05,Pompa Air/Jet Pump, 250 watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
88,02.02.03.05.07.06,Pompa Submersible Ejector IPAL, 1 HP 750 watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
89,02.02.03.05.07.06,Pompa Submersible Ejector IPAL, 1 HP 750 watt,,,Unit,5.2.3.15.02,5.2.3,Belanja Modal Pengadaan Instalasi Air Kotor
90,02.02.03.05.07.07,Pompa Submersible Input Biofilter, 400 watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
91,02.02.03.05.07.07,Pompa Submersible Input Biofilter, 400 watt,,,Unit,5.2.3.15.02,5.2.3,Belanja Modal Pengadaan Instalasi Air Kotor
92,02.02.03.05.07.08,Pompa Air, Semi Jet Pump 100 BIT,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
93,02.02.03.05.07.09,Pompa Listrik Air Mancur, 5.5 kw 3 phase,Transfer Sentrifugal,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
94,02.02.03.05.07.10,Pompa Air," 2200 Watt, 2800 Rpm",,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
95,02.02.03.05.07.11,Pompa Air Motor, Sentrifugal 200x150,,"EBARA, HITACHI",Unit,5.2.2.02.01,5.2.2,Belanja Bahan Baku Bangunan
96,02.02.03.05.07.12,Rumah Pompa,,,,Unit,5.2.2.02.01,5.2.2,Belanja Bahan Baku Bangunan
97,02.02.03.05.07.13,Pompa Transfer,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
98,02.02.03.05.07.14,Panel Control Pompa,,,,Unit,5.2.2.01.03,5.2.2,Belanja Alat Listrik dan Elektronik
99,02.02.03.05.07.15,Pompa High Pressure,,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
100,02.02.03.05.07.16,Pompa Air Submersible, 4 inch,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
101,02.02.03.05.07.17,Saringan Pompa Sampit,,,,Unit,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
102,02.02.03.05.07.18,Saringan Pompa Inlet IPAL belakang,,,,Unit,5.2.2.01.10,5.2.2,Belanja Pakai Habis Kedokteran/ Perawatan Kesehatan/ Laboratorium
103,02.02.03.05.07.19,Pompa Submersible Ejector IPAL,400 Watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
104,02.02.03.05.07.20,Pompa Submersible Input Biofilter,180 Watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
105,02.02.03.05.07.21,Pompa Minyak Elektric Dengan Flow Meter,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
106,02.02.03.05.07.22,Pompa Submersible Otomatis ,100 Atau 125 Watt,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
107,02.02.03.06.02.01,Mesin Alat Bor Tanah ,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
108,02.02.03.06.04.01,Mesin Bor Cordless,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
109,02.02.03.06.04.02,Mesin Bor,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
110,02.02.03.06.04.03,Cordless Impact Drill,,13mm 50W,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
111,02.02.03.06.04.04,Mesin Bor Beton/Drill, Beton 16mm,Rotary Hammer,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
112,02.02.03.06.04.05,Mesin Drill Press,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
113,02.02.03.06.04.06,Cordless Combo Kit,,,,Set,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
114,02.02.03.06.04.07,Cordless Oscillating Multi Tool,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
115,02.02.03.08.01,Reverse Osmosis, Kapasitas 250liter/Jam,,,Unit,5.2.3.06.02,5.2.3,Belanja Modal Pengadaan Alat Rumah Tangga
116,02.02.03.08.02,Blower IPAL,,,,Unit,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
117,02.02.03.10.01,Mesin Diesel,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
118,02.03.01.01.01.01,Mobil Sedan,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
119,02.03.01.01.03.03,Mobil SUV, 2000 CC - 2500 CC A/T,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
120,02.03.01.01.03.04,Station Wagon, 2000 CC,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
121,02.03.01.01.03.05,Mobil MPV, 2000 CC,M/T,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
122,02.03.01.01.03.06,Mobil MPV Minimal ,1500 CC,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
123,02.03.01.01.03.07,Mobil MPV ,Minimal 2500 CC,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
124,02.03.01.02.01.01,Bus Chasis Low Entry,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
125,02.03.01.02.01.02,Karoseri Single Low Entry Bus,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
126,02.03.01.02.01.03,Bus Sedang,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
127,02.03.01.02.02.01,Bus,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
128,02.03.01.02.02.02,Bus Pelayanan KB,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
129,02.03.01.02.02.03,Bus KB,  Keliling,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
130,02.03.01.02.02.04,Bus Low Entry ,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
131,02.03.01.02.02.05.B,Bus Medium,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
132,02.03.01.02.03.01,Mobil Mini Bus,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
133,02.03.01.03.01.01,Truk Barang,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
134,02.03.01.03.01.02,Truck Compactor, 10 M3,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
135,02.03.01.03.01.03.C,Dump Truck,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
136,02.03.01.03.01.04,Truck Sweeper,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
137,02.03.01.03.01.05,Truck Bak, 6 Roda,"Isi Silinder 4009 Cc, Type Mesin Diesel 4 Langkah Segaris;Direct Injection; Turbo Charge Intercooler; Sticker Dinas; Lampu Rotary",HINO 130 HD,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
138,02.03.01.03.01.06,Truck Angkutan,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
139,02.03.01.03.01.07,Truk Derek, 35 T,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
140,02.03.01.03.01.08,Truk Derek, 8 T,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
141,02.03.01.03.02.01,Mobil Pick Up,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
142,02.03.01.03.02.02,Dump Pickup,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
143,02.03.01.03.02.03,Mobil Box,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
144,02.03.01.03.05.01,Countainer Sayur,,,,Buah,5.2.2.01.16,5.2.2,Belanja Pakai Habis Perlengkapan Kantor/ Rumah Tangga
145,02.03.01.04.01.01.C,Mobil Ambulance,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
146,02.03.01.04.01.02,Mobil Ambulance Pusling,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
147,02.03.01.04.01.03,Mobil Ambulance,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
148,02.03.01.04.01.04,Ambulance Emergency,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
149,02.03.01.04.01.04,Ambulance Emergency,,,,Unit,5.2.3.08.01,5.2.3,Belanja Modal Pengadaan Alat Kedokteran
150,02.03.01.04.01.05,Mobil Ambulance 112,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
151,02.03.01.04.01.06,Mobil Ambulance PSC,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
152,02.03.01.04.01.07,Mobil Ambulance VIP,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
153,02.03.01.04.02.01,Mobil Ambulance Jenazah,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
154,02.03.01.04.03.01,Mobil Unit Penerangan KB (include IEC Equipment),,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
155,02.03.01.04.04.01,Mobil Pemadam Kebakaran, 3000 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
156,02.03.01.04.04.02,Mobil Pemadam Kebakaran, 5000 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
157,02.03.01.04.04.03,Mobil Pemadam Kebakaran,  8000 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
158,02.03.01.04.04.04,Mobil Pemadam Kebakaran, 10000 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
159,02.03.01.04.04.05,Mobil Pemadam Kebakaran Water Mist,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
160,02.03.01.04.04.06,Mobil Pemadam Kebakaran Rescue Truck Lighting,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
161,02.03.01.04.04.07,Mobil Pemadam Kebakaran Water Supply System,  1500 With Flood Module,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
162,02.03.01.04.04.08,Mobil Pemadam Kebakaran Water Supply System,  3000 With Flood Module,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
163,02.03.01.04.04.09,Mobil Pemadam Kebakaran,  60 Meter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
164,02.03.01.04.04.10,Mobil Pemadam Kebakaran, 104 Meter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
165,02.03.01.04.04.11.B,Mobil Pemadam Kebakaran,42 Meter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
166,02.03.01.04.04.12.B,Mobil Pemadam Kebakaran ,37 Meter ,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
167,02.03.01.04.04.13,Mobil Pemadam Kebakaran,  34 Meter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
168,02.03.01.04.04.14,Mobil Water Supply System 1500,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
169,02.03.01.04.04.15,Mobil Water Supply System 3000,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
170,02.03.01.04.04.16,Mobil Water Supply, 4000 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
171,02.03.01.04.04.17,Mobil Pemadam Kebakaran, 1200 Liter,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
172,02.03.01.04.04.18,Mobil Pemadam Kebakaran Lighting Rescue,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
173,02.03.01.04.05.01,Truk Tinja,,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
174,02.03.01.04.06.01,Mobil Tangki, 5000 L,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
175,02.03.01.04.22.01,Truck Compactor, 6.5 M3,,,Unit,5.2.3.03.01,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Bermotor
176,02.03.01.04.22.02,Mobil Skywalker,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
